,id,time,velocity,pile,acceleration,roadsection,distance,remain
0,1,1,19.865229,0.0,0.0,C1,0.0,150.0
1,1,2,20.658628968128653,20.658628968128653,0.7933999681286537,C1,20.658628968128653,129.34137103187135
2,1,3,21.413286457152758,42.07191542528141,0.7546574890241047,C1,42.07191542528141,107.92808457471858
3,1,4,22.210142083165888,64.28205750844731,0.7968556260131301,C1,64.28205750844731,85.71794249155269
5,1,5,22.98634839515919,87.26840590360649,0.7762063119933025,C1,87.26840590360649,62.73159409639351
7,1,6,23.764432475862748,111.03283837946924,0.7780840807035574,C1,111.03283837946924,38.96716162053076
9,1,7,24.561508383283115,135.59434676275237,0.7970759074203677,C1,135.59434676275237,14.405653237247634
11,1,8,25.361019900830186,160.95536666358257,0.7995115175470708,B2,10.955366663582566,89.04463333641743
13,1,9,26.089256810301638,187.0446234738842,0.7282369094714518,B2,37.0446234738842,62.9553765261158
16,1,10,26.889225668457993,213.9338491423422,0.7999688581563547,B2,63.93384914234221,36.06615085765779
19,1,11,27.66295084660659,241.59679998894882,0.7737251781485988,B2,91.59679998894882,8.403200011051183
23,1,12,28.428234416952083,270.02503440590084,0.7652835703454919,A3,20.02503440590084,279.97496559409916
27,1,13,29.19313437901224,299.21816878491313,0.7648999620601558,A3,49.21816878491313,250.78183121508687
31,1,14,29.95340673310469,329.1715755180178,0.7602723540924501,A3,79.17157551801779,220.8284244819822
36,1,15,30.75087764808695,359.92245316610473,0.7974709149822594,A3,109.92245316610473,190.07754683389527
41,1,16,31.478443193489415,391.4008963595942,0.7275655454024665,A3,141.40089635959419,158.59910364040581
46,1,17,32.220618010533705,423.6215143701279,0.7421748170442903,A3,173.6215143701279,126.3784856298721
52,1,18,32.96829632656436,456.5898106966922,0.747678316030651,A3,206.5898106966922,93.41018930330779
58,1,19,33.257498948212714,489.84730964490495,0.2892026216483572,A3,239.84730964490495,60.15269035509505
64,1,20,33.28096585422009,523.128275499125,0.02346690600737844,A3,273.12827549912504,26.87172450087496
71,1,21,33.28117647162825,556.4094519707534,0.00021061740815753183,B4,6.409451970753366,93.59054802924663
78,1,22,33.2973214950338,589.7067734657871,0.016145023405549352,B4,39.70677346578714,60.29322653421286
86,1,23,33.28579632341116,622.9925697891983,-0.011525171622636776,B4,72.99256978919834,27.007430210801658
94,1,24,33.31697462032735,656.3095444095255,0.03117829691618823,C5,6.309544409525529,143.69045559047447
102,1,25,33.30344948583468,689.6129938953602,-0.013525134492667235,C5,39.612993895360205,110.3870061046398
111,1,26,33.322649201296265,722.9356430966565,0.019199715461581945,C5,72.93564309665646,77.06435690334354
120,1,27,33.28537762782722,756.2210207244837,-0.03727157346904164,C5,106.22102072448365,43.77897927551635
130,1,28,33.30285775683075,789.5238784813145,0.01748012900352336,C5,139.52387848131445,10.476121518685545
4,2,4,22.13457,0.0,0.0,C1,0.0,150.0
6,2,5,22.924440524574074,22.924440524574074,0.7898705245740736,C1,22.924440524574074,127.07555947542593
8,2,6,23.664516954324846,46.58895747889892,0.740076429750772,C1,46.58895747889892,103.41104252110108
10,2,7,24.443038907624487,71.03199638652342,0.7785219532996415,C1,71.03199638652342,78.96800361347658
12,2,8,25.174383245572155,96.20637963209558,0.7313443379476681,C1,96.20637963209558,53.793620367904424
14,2,9,25.912908814787574,122.11928844688315,0.7385255692154189,C1,122.11928844688315,27.880711553116853
17,2,10,26.659562466382692,148.77885091326584,0.7466536515951177,C1,148.77885091326584,1.2211490867341581
20,2,11,27.44886160496221,176.22771251822806,0.7892991385795192,B2,26.22771251822806,73.77228748177194
24,2,12,28.237832854944926,204.46554537317297,0.7889712499827155,B2,54.46554537317297,45.53445462682703
28,2,13,28.96856687238039,233.43411224555337,0.7307340174354628,B2,83.43411224555337,16.565887754446635
32,2,14,29.692001704141212,263.12611394969457,0.723434831760823,A3,13.12611394969457,286.87388605030543
37,2,15,30.43829646348552,293.5644104131801,0.746294759344309,A3,43.5644104131801,256.4355895868199
42,2,16,31.18168536925287,324.746095782433,0.7433889057673504,A3,74.74609578243297,225.25390421756703
47,2,17,31.199222996301664,355.94531877873465,0.01753762704879236,A3,105.94531877873465,194.05468122126535
53,2,18,31.24410497355433,387.189423752289,0.04488197725266474,A3,137.18942375228897,162.81057624771103
59,2,19,31.237966208114937,418.4273899604039,-0.006138765439391847,A3,168.4273899604039,131.5726100395961
65,2,20,31.202086867682354,449.62947682808624,-0.03587934043258301,A3,199.62947682808624,100.37052317191376
72,2,21,31.211913890532866,480.8413907186191,0.00982702285051218,A3,230.8413907186191,69.1586092813809
79,2,22,31.27133804775001,512.1127287663692,0.059424157217144113,A3,262.1127287663692,37.88727123363083
87,2,23,31.271972963317946,543.3847017296871,0.0006349155679359342,A3,293.3847017296871,6.6152982703129055
95,2,24,31.250756632920073,574.6354583626071,-0.021216330397873406,B4,24.635458362607096,75.3645416373929
103,2,25,31.26868695649476,605.9041453191019,0.0179303235746886,B4,55.90414531910187,44.09585468089813
112,2,26,31.217445299803927,637.1215906189058,-0.05124165669083425,B4,87.12159061890577,12.87840938109423
122,2,27,31.25821685348795,668.3798074723936,0.0407715536840243,C5,18.379807472393622,131.62019252760638
132,2,28,31.265800078801526,699.6456075511952,0.00758322531357436,C5,49.64560755119521,100.35439244880479
142,2,29,31.21997118822457,730.8655787394198,-0.04582889057695638,C5,80.86557873941979,69.13442126058021
152,2,30,31.26578115386115,762.1313598932809,0.04580996563657891,C5,112.13135989328089,37.86864010671911
163,2,31,31.22795337216155,793.3593132654424,-0.03782778169959755,C5,143.35931326544244,6.640686734557562
15,3,9,18.461056,0.0,0.0,C1,0.0,150.0
18,3,10,19.212661233997107,19.212661233997103,0.7516052339971075,C1,19.212661233997103,130.7873387660029
21,3,11,19.952209339408338,39.164870573405445,0.739548105411231,C1,39.164870573405445,110.83512942659456
